Предложение №34: тег t:changest, лемма Застыв
Предложение №88: тег t:changest, лемма поглупел
Предложение №89: тег t:changest, лемма глупели
Предложение №103: тег t:changest, лемма Припухшие
Предложение №108: тег t:changest, лемма увял
Предложение №133: тег t:changest, лемма повзрослел
Предложение №153: тег t:changest, лемма распрямилась
Предложение №157: тег t:changest, лемма застыл
Предложение №182: тег t:changest, лемма раскололся
Предложение №195: тег t:changest, лемма развязаться
Предложение №244: тег t:changest, лемма сел
Предложение №281: тег t:changest, лемма засоленную
Предложение №291: тег t:changest, лемма разрослись
Предложение №330: тег t:changest, лемма сгущённой
Предложение №330: тег t:changest, лемма сгущённое
Предложение №339: тег t:changest, лемма впасть
Предложение №368: тег t:changest, лемма выросшие
Предложение №464: тег t:changest, лемма закипали
Предложение №469: тег t:changest, лемма обогащения
Предложение №508: тег t:changest, лемма умягчённый
Предложение №518: тег t:changest, лемма вырастает
Предложение №531: тег t:changest, лемма вянул
Предложение №540: тег t:changest, лемма замедлила
Предложение №558: тег t:changest, лемма сели
Предложение №564: тег t:changest, лемма измарала
Предложение №607: тег t:changest, лемма запылённый
Предложение №608: тег t:changest, лемма отрывалась
Предложение №608: тег t:changest, лемма роста
Предложение №666: тег t:changest, лемма застыл
Предложение №676: тег t:changest, лемма роста
Предложение №677: тег t:changest, лемма росту
Предложение №685: тег t:changest, лемма развиться
Предложение №700: тег t:changest, лемма вспухла
Предложение №752: тег t:changest, лемма напряжения
Предложение №752: тег t:changest, лемма ослабевало
Предложение №753: тег t:changest, лемма выровнял
Предложение №753: тег t:changest, лемма застыл
Предложение №758: тег t:changest, лемма разрежённым
Предложение №775: тег t:changest, лемма тупеющего

Количество найденных тегов: 39
